post_id,username,post_url,post_type,caption,created_time,likes_count,comments_count,shares_count,saves_count,impressions,reach,engagement_rate,hashtags,mentions,likes_percentage,comments_percentage,shares_percentage,saves_percentage,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,male_percentage,female_percentage,USA_percentage,India_percentage,UK_percentage,Canada_percentage,Germany_percentage,Others_percentage,status,popularity_score
Post001,user_123,https://www.instagram.com/p/Post001/,image,Experience the joy of life.,2023-06-15T10:45:00Z,1657,36,8,76,81241,59833,0.03,"#experience,#joy,#life","@user_456,@user_789",80,10,5,5,33,27,18,15,7,52,48,30,25,20,10,5,10,trending,76
Post002,user_456,https://www.instagram.com/p/Post002/,video,A beautiful day in the park.,2023-05-22T14:15:00Z,5432,154,44,18,115894,93082,0.07,"#park,#beautifulday,#nature","@user_123,@user_789",65,20,10,5,25,35,20,10,10,47,53,35,20,25,10,5,5,popular,80
Post003,user_789,https://www.instagram.com/p/Post003/,image,Finding beauty in everyday moments.,2023-08-14T09:30:00Z,11200,320,15,105,150234,120000,0.09,"#beauty,#everyday,#moments","@user_456,@user_123",82,12,3,3,40,35,15,5,5,60,40,40,30,15,5,5,5,trending,88
Post004,user_101,https://www.instagram.com/p/Post004/,video,Adventure awaits!,2023-09-02T16:30:00Z,9500,210,100,90,200000,170000,0.05,"#adventure,#travel,#explore","@user_200,@user_300",75,15,5,5,35,40,15,5,5,58,42,30,20,20,10,10,10,popular,80
Post005,user_222,https://www.instagram.com/p/Post005/,image,Moments that take your breath away.,2023-09-10T12:00:00Z,13000,400,250,200,300000,250000,0.1,"#breathtaking,#moments,#life","@user_123,@user_456",70,20,5,5,30,35,20,10,5,55,45,35,25,20,10,5,5,trending,90
Post006,user_333,https://www.instagram.com/p/Post006/,video,Capturing the essence of life.,2023-09-12T08:00:00Z,7000,50,10,25,150000,120000,0.04,"#essence,#life,#capture","@user_222",70,10,10,10,30,40,20,5,5,60,40,30,25,20,15,5,5,popular,75
Post007,user_444,https://www.instagram.com/p/Post007/,image,Sunset vibes and good times.,2023-09-15T19:00:00Z,8500,200,50,30,90000,70000,0.06,"#sunset,#goodtimes,#nature","@user_555",65,25,10,5,20,30,25,10,5,40,60,20,30,25,15,5,5,trending,85
Post008,user_555,https://www.instagram.com/p/Post008/,video,The thrill of adventure!,2023-09-20T11:00:00Z,9000,180,40,15,110000,85000,0.07,"#adventure,#thrill,#explore","@user_444",70,15,5,5,25,35,20,10,10,50,50,35,15,20,20,5,5,popular,88
Post009,user_666,https://www.instagram.com/p/Post009/,image,Delicious food from my favorite place.,2023-09-25T13:30:00Z,12000,300,80,60,140000,110000,0.08,"#food,#delicious,#yummy","@user_777",75,20,15,5,35,30,20,15,5,45,55,25,25,30,10,5,10,trending,82
Post010,user_777,https://www.instagram.com/p/Post010/,video,Exploring the city like never before.,2023-09-30T15:00:00Z,14000,400,100,90,160000,130000,0.09,"#city,#exploration,#adventure","@user_666",80,30,10,5,30,40,25,15,5,55,45,30,20,25,15,10,5,popular,90
Post011,user_888,https://www.instagram.com/p/Post011/,image,Inspiration is everywhere.,2023-10-05T09:00:00Z,13000,350,90,50,150000,120000,0.05,"#inspiration,#everywhere,#motivation","@user_999",85,25,20,5,40,30,15,20,10,55,45,25,20,30,15,5,5,trending,83
Post012,user_999,https://www.instagram.com/p/Post012/,video,Feeling good today!,2023-10-10T14:00:00Z,11000,200,60,30,125000,100000,0.04,"#goodvibes,#feelgood,#positivity","@user_888",70,15,5,5,25,35,20,10,10,50,50,35,20,25,20,5,5,popular,77
Post013,user_1010,https://www.instagram.com/p/Post013/,image,Loving the outdoors and nature.,2023-10-15T12:00:00Z,15500,450,150,70,180000,140000,0.1,"#outdoors,#nature,#hiking","@user_1111",90,20,10,5,25,30,30,15,5,60,40,35,25,20,10,5,10,trending,95
Post014,user_1111,https://www.instagram.com/p/Post014/,video,Creating art and memories.,2023-10-20T17:00:00Z,12000,300,100,40,145000,110000,0.06,"#art,#creativity,#memories","@user_1010",75,25,5,5,20,35,25,15,5,50,50,30,20,25,20,5,5,popular,80
Post015,user_1212,https://www.instagram.com/p/Post015/,image,Weekend getaways and relaxation.,2023-10-25T10:30:00Z,8000,150,20,15,90000,60000,0.02,"#getaway,#relaxation,#weekend","@user_1313",60,10,5,5,30,40,20,10,10,55,45,25,15,30,20,10,5,trending,78
Post016,user_1313,https://www.instagram.com/p/Post016/,video,Capturing memories one click at a time.,2023-10-30T16:00:00Z,9500,250,60,25,105000,75000,0.08,"#memories,#photography,#capture","@user_1212",70,15,10,5,20,30,25,10,10,40,60,20,30,25,15,5,5,popular,85
